,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,PLAYER_NAME,TEAM_ABBREVIATION,SEASON,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK
1,PLAYER_ID,201935,,,,,,,,,,,,,,,
2,,James Harden,HOU,2016,2356,674,1533,262,756,746,881,95,564,659,907,121,38
3,,,HOU,2017,2191,651,1449,265,722,624,727,41,348,389,630,126,50
4,,,HOU,2018,2818,843,1909,378,1028,754,858,66,452,518,586,158,58
5,,,HOU,2019,2096,603,1386,271,769,619,719,64,324,388,450,106,53
6,,202695,,,,,,,,,,,,,,,
7,,Kawhi Leonard,SAS,2016,2888,636,1312,147,387,469,533,80,350,430,260,133,55
8,,,SAS,2017,146,52,111,11,35,31,38,6,36,42,21,18,9
9,,,TOR,2018,1596,560,1129,112,302,364,426,78,361,439,199,106,24
10,,,LAC,2019,1370,476,1016,107,292,311,350,52,321,373,254,92,31
11,,2544,,,,,,,,,,,,,,,
12,,LeBron James,CLE,2016,1954,736,1344,124,342,358,531,97,542,639,646,92,44
13,,,CLE,2017,2251,857,1580,149,406,388,531,97,612,709,747,116,71
14,,,LAL,2018,1505,558,1095,111,327,278,418,57,408,465,454,72,33
15,,,LAL,2019,1544,586,1176,133,381,239,343,59,414,473,636,74,30
16,,2546,,,,,,,,,,,,,,,
17,,Carmelo Anthony,NYK,2016,1659,602,1389,151,421,304,365,62,376,438,213,60,34
18,,,OKC,2017,1261,472,1168,169,474,148,193,67,386,453,103,47,49
19,,,HOU,2018,1340,49,121,21,64,15,22,9,45,54,5,4,7
20,,,POR,2019,763,289,679,72,194,113,134,61,252,313,79,40,23
